subject,src,n_trials,score
sub50,picture6_neutral.jpg,1,9
sub50,picture7_neutral.jpg,1,18
sub50,picture8_neutral.jpg,1,16
sub51,picture10_neutral.jpg,1,17
sub51,picture1_neutral.jpg,1,6
sub51,picture1_threat.jpg,1,3
sub51,picture2_neutral.jpg,1,15
sub51,picture2_threat.jpg,1,1
sub51,picture3_threat.jpg,1,1
sub51,picture4_neutral.jpg,1,16
sub51,picture4_threat.jpg,1,11
sub51,picture5_neutral.jpg,1,8
sub51,picture9_neutral.jpg,1,17
sub52,picture1_neutral.jpg,2,8
sub52,picture1_threat.jpg,2,4.5
sub52,picture2_threat.jpg,2,19
sub52,picture3_neutral.jpg,2,6.5
sub52,picture3_threat.jpg,2,17
sub52,picture4_threat.jpg,2,19
sub52,picture5_neutral.jpg,2,14
sub52,picture6_neutral.jpg,2,17
sub52,picture7_neutral.jpg,2,3
sub52,picture8_neutral.jpg,2,11
sub53,picture10_neutral.jpg,1,8
sub53,picture1_threat.jpg,1,7
sub53,picture2_neutral.jpg,1,16
sub53,picture2_threat.jpg,1,11
sub53,picture3_neutral.jpg,1,17
sub53,picture3_threat.jpg,1,9
sub53,picture4_neutral.jpg,1,10
sub53,picture4_threat.jpg,1,14
sub53,picture7_neutral.jpg,1,16
sub53,picture9_neutral.jpg,1,17
sub54,picture10_neutral.jpg,1,21
sub54,picture1_neutral.jpg,1,16
sub54,picture1_threat.jpg,1,9
sub54,picture2_threat.jpg,1,1
sub54,picture3_threat.jpg,1,20
sub54,picture4_neutral.jpg,1,19
sub54,picture4_threat.jpg,1,18
sub54,picture5_neutral.jpg,1,16
sub54,picture6_neutral.jpg,1,21
sub54,picture8_neutral.jpg,1,20
sub55,picture10_neutral.jpg,2,7.5
sub55,picture1_threat.jpg,2,2.5
sub55,picture2_neutral.jpg,2,3.5
sub55,picture2_threat.jpg,2,8
sub55,picture3_threat.jpg,2,5
sub55,picture4_threat.jpg,2,7
sub55,picture6_neutral.jpg,2,4.5
sub55,picture7_neutral.jpg,2,8
sub55,picture8_neutral.jpg,2,7.5
sub55,picture9_neutral.jpg,2,4
sub56,picture10_neutral.jpg,1,20
sub56,picture1_threat.jpg,1,24
sub56,picture2_neutral.jpg,1,25
sub56,picture2_threat.jpg,1,21
sub56,picture3_threat.jpg,1,22
sub56,picture4_neutral.jpg,1,1
sub56,picture4_threat.jpg,1,26
sub56,picture6_neutral.jpg,1,6
