subject,trialCount,src,first_correct_no_further_mistakes_1
sub41,5,picture10_neutral.jpg,1
sub41,5,picture1_neutral.jpg,2
sub41,5,picture1_threat.jpg,2
sub41,5,picture2_neutral.jpg,1
sub41,5,picture2_threat.jpg,2
sub41,5,picture3_neutral.jpg,1
sub41,5,picture3_threat.jpg,1
sub41,5,picture4_threat.jpg,1
sub41,5,picture7_neutral.jpg,2
sub41,5,picture9_neutral.jpg,1
sub41,6,picture10_neutral.jpg,1
sub41,6,picture1_neutral.jpg,2
sub41,6,picture1_threat.jpg,2
sub41,6,picture2_neutral.jpg,1
sub41,6,picture2_threat.jpg,2
sub41,6,picture3_neutral.jpg,1
sub41,6,picture3_threat.jpg,1
sub41,6,picture4_threat.jpg,1
sub41,6,picture7_neutral.jpg,2
sub41,6,picture9_neutral.jpg,1
sub42,1,picture1_threat.jpg,30
sub42,1,picture2_threat.jpg,31
sub42,1,picture3_neutral.jpg,21
sub42,1,picture3_threat.jpg,23
sub42,1,picture4_neutral.jpg,1
sub42,1,picture4_threat.jpg,24
sub42,1,picture6_neutral.jpg,31
sub42,1,picture7_neutral.jpg,7
sub42,1,picture8_neutral.jpg,26
sub42,1,picture9_neutral.jpg,29
sub43,1,picture1_neutral.jpg,21
sub43,1,picture1_threat.jpg,15
sub43,1,picture2_neutral.jpg,26
sub43,1,picture2_threat.jpg,18
sub43,1,picture3_neutral.jpg,21
sub43,1,picture3_threat.jpg,29
sub43,1,picture4_threat.jpg,27
sub43,1,picture5_neutral.jpg,29
sub43,1,picture8_neutral.jpg,10
sub43,1,picture9_neutral.jpg,25
sub44,1,picture1_neutral.jpg,1
sub44,1,picture1_threat.jpg,13
sub44,1,picture2_neutral.jpg,9
sub44,1,picture2_threat.jpg,8
sub44,1,picture3_threat.jpg,11
sub44,1,picture4_threat.jpg,13
sub44,1,picture5_neutral.jpg,13
sub44,1,picture7_neutral.jpg,13
sub44,1,picture8_neutral.jpg,12
sub44,1,picture9_neutral.jpg,10
sub45,1,picture1_threat.jpg,18
sub45,1,picture2_neutral.jpg,16
sub45,1,picture2_threat.jpg,17
sub45,1,picture3_neutral.jpg,19
sub45,1,picture3_threat.jpg,13
sub45,1,picture4_neutral.jpg,19
sub45,1,picture4_threat.jpg,6
sub45,1,picture6_neutral.jpg,18
sub45,1,picture8_neutral.jpg,10
sub45,1,picture9_neutral.jpg,3
sub45,2,picture1_threat.jpg,3
sub45,2,picture2_neutral.jpg,2
sub45,2,picture2_threat.jpg,1
sub45,2,picture3_neutral.jpg,1
sub45,2,picture3_threat.jpg,1
sub45,2,picture4_neutral.jpg,3
sub45,2,picture4_threat.jpg,1
sub45,2,picture6_neutral.jpg,1
sub45,2,picture8_neutral.jpg,1
sub45,2,picture9_neutral.jpg,1
sub46,1,picture1_neutral.jpg,10
sub46,1,picture1_threat.jpg,18
sub46,1,picture2_neutral.jpg,18
sub46,1,picture2_threat.jpg,9
sub46,1,picture3_neutral.jpg,19
sub46,1,picture3_threat.jpg,3
sub46,1,picture4_neutral.jpg,19
sub46,1,picture4_threat.jpg,8
sub46,1,picture7_neutral.jpg,4
sub46,1,picture9_neutral.jpg,17
sub47,1,picture1_threat.jpg,24
sub47,1,picture2_neutral.jpg,8
sub47,1,picture2_threat.jpg,25
sub47,1,picture3_neutral.jpg,25
sub47,1,picture3_threat.jpg,23
sub47,1,picture4_neutral.jpg,22
sub47,1,picture4_threat.jpg,20
sub47,1,picture7_neutral.jpg,1
sub47,1,picture8_neutral.jpg,1
sub47,1,picture9_neutral.jpg,14
sub48,1,picture1_neutral.jpg,16
sub48,1,picture1_threat.jpg,15
sub48,1,picture2_threat.jpg,1
sub48,1,picture3_neutral.jpg,17
sub48,1,picture3_threat.jpg,17
sub48,1,picture4_neutral.jpg,6
sub48,1,picture4_threat.jpg,13
sub48,1,picture5_neutral.jpg,3
sub48,1,picture7_neutral.jpg,14
sub48,1,picture8_neutral.jpg,12
sub49,1,picture1_neutral.jpg,3
sub49,1,picture1_threat.jpg,15
sub49,1,picture2_neutral.jpg,2
sub49,1,picture2_threat.jpg,6
sub49,1,picture3_neutral.jpg,2
sub49,1,picture3_threat.jpg,15
sub49,1,picture4_threat.jpg,14
sub49,1,picture5_neutral.jpg,13
sub49,1,picture6_neutral.jpg,8
sub49,1,picture9_neutral.jpg,12
