subject,trialCount,RT,acc,partResp,chosenNode,chosenImageFile,chosenCommunityNumber,chosenThreatStatus,option1CommunityNumber,option1ThreatStatus,option2CommunityNumber,option2ThreatStatus,option3CommunityNumber,option3ThreatStatus,combined_comnums,target_node,target_threat,nontarget_comb,nontarget_threat
sub95,35,3623,1,2,Node1,picture7.jpg,1,neutral,2,neutral,1,neutral,2,neutral,212,,neutral,neutralneutral,no_threat
sub95,36,4480,1,1,Node2,picture2.jpg,1,neutral,1,neutral,2,neutral,2,neutral,122,,neutral,neutralneutral,no_threat
sub95,37,2639,1,2,Node4,picture4.jpg,1,threat,2,neutral,1,threat,2,threat,212,,threat,neutralthreat,has_threat
sub95,38,4319,1,3,Node6,picture3.jpg,2,neutral,1,neutral,1,neutral,2,neutral,112,,neutral,neutralneutral,no_threat
sub95,39,3727,1,2,Node9,picture9.jpg,2,neutral,1,threat,2,neutral,1,neutral,121,,neutral,threatneutral,has_threat
sub95,40,4791,1,3,Node10,picture10.jpg,2,neutral,1,neutral,1,threat,2,neutral,112,,neutral,neutralthreat,has_threat
sub95,41,4351,1,3,Node3,picture3.jpg,1,threat,2,neutral,2,neutral,1,threat,221,,threat,neutralneutral,no_threat
sub95,42,2512,1,2,Node2,picture2.jpg,1,neutral,2,neutral,1,neutral,2,neutral,212,,neutral,neutralneutral,no_threat
sub95,43,9047,0,1,Node6,picture3.jpg,2,neutral,2,neutral,1,threat,2,neutral,212,,threat,neutralneutral,no_threat
sub95,44,5143,1,2,Node6,picture3.jpg,2,neutral,1,neutral,2,neutral,1,neutral,121,,neutral,neutralneutral,no_threat
sub95,45,4837,1,1,Node2,picture2.jpg,1,neutral,1,neutral,2,neutral,2,neutral,122,,neutral,neutralneutral,no_threat
sub95,46,6738,1,2,Node1,picture7.jpg,1,neutral,2,neutral,1,neutral,2,neutral,212,,neutral,neutralneutral,no_threat
sub95,47,5502,1,1,Node4,picture4.jpg,1,threat,1,threat,2,threat,2,neutral,122,,threat,threatneutral,has_threat
sub95,48,6198,1,3,Node2,picture2.jpg,1,neutral,2,neutral,2,neutral,1,neutral,221,,neutral,neutralneutral,no_threat
sub96,1,9808,0,2,Node8,picture10.jpg,2,neutral,1,threat,2,neutral,2,neutral,122,,threat,neutralneutral,no_threat
sub96,2,2026,1,3,Node2,picture6.jpg,1,neutral,2,neutral,2,neutral,1,neutral,221,,neutral,neutralneutral,no_threat
sub96,3,4226,1,2,Node8,picture10.jpg,2,neutral,1,threat,2,neutral,1,neutral,121,,neutral,threatneutral,has_threat
sub96,4,3828,0,2,Node3,picture2.jpg,1,threat,2,neutral,1,threat,1,neutral,211,,neutral,threatneutral,has_threat
sub96,5,6379,1,3,Node1,picture2.jpg,1,neutral,2,threat,2,threat,1,neutral,221,,neutral,threatthreat,has_threat
sub96,6,6046,1,1,Node2,picture6.jpg,1,neutral,1,neutral,2,neutral,2,neutral,122,,neutral,neutralneutral,no_threat
sub96,7,7889,1,1,Node8,picture10.jpg,2,neutral,2,neutral,1,threat,1,neutral,211,,neutral,threatneutral,has_threat
sub96,8,4451,1,3,Node9,picture3.jpg,2,threat,1,neutral,1,neutral,2,threat,112,,threat,neutralneutral,no_threat
sub96,9,5147,0,2,Node4,picture4.jpg,1,threat,2,threat,1,threat,1,neutral,211,,threat,threatneutral,has_threat
sub96,10,3482,1,3,Node6,picture4.jpg,2,neutral,1,threat,1,neutral,2,neutral,112,,neutral,threatneutral,has_threat
sub96,11,15991,1,3,Node8,picture10.jpg,2,neutral,1,neutral,1,threat,2,neutral,112,,neutral,neutralthreat,has_threat
sub96,12,7153,1,3,Node9,picture3.jpg,2,threat,1,neutral,1,neutral,2,threat,112,,threat,neutralneutral,no_threat
sub96,13,6235,1,2,Node2,picture6.jpg,1,neutral,2,neutral,1,neutral,2,neutral,212,,neutral,neutralneutral,no_threat
sub96,14,6064,1,1,Node1,picture2.jpg,1,neutral,1,neutral,2,threat,2,threat,122,,neutral,threatthreat,has_threat
sub96,15,6020,1,2,Node6,picture4.jpg,2,neutral,1,neutral,2,neutral,1,threat,121,,neutral,neutralthreat,has_threat
sub96,16,6258,1,1,Node1,picture2.jpg,1,neutral,1,neutral,2,threat,2,threat,122,,neutral,threatthreat,has_threat
sub96,17,12651,1,2,Node4,picture4.jpg,1,threat,2,neutral,1,threat,2,threat,212,,threat,neutralthreat,has_threat
sub96,18,3254,1,1,Node9,picture3.jpg,2,threat,2,threat,1,neutral,1,neutral,211,,threat,neutralneutral,no_threat
sub96,19,1902,1,2,Node4,picture4.jpg,1,threat,2,threat,1,threat,2,neutral,212,,threat,threatneutral,has_threat
sub96,20,3368,1,2,Node2,picture6.jpg,1,neutral,2,neutral,1,neutral,2,neutral,212,,neutral,neutralneutral,no_threat
sub96,21,9017,1,3,Node1,picture2.jpg,1,neutral,2,threat,2,threat,1,neutral,221,,neutral,threatthreat,has_threat
sub96,22,10448,0,1,Node8,picture10.jpg,2,neutral,2,neutral,1,threat,2,neutral,212,,threat,neutralneutral,no_threat
sub96,23,12591,0,2,Node2,picture6.jpg,1,neutral,2,threat,1,neutral,1,threat,211,,threat,neutralthreat,has_threat
sub96,24,8449,1,3,Node3,picture2.jpg,1,threat,2,neutral,2,neutral,1,threat,221,,threat,neutralneutral,no_threat
sub96,25,5744,1,3,Node4,picture4.jpg,1,threat,2,neutral,2,threat,1,threat,221,,threat,neutralthreat,has_threat
sub96,26,8486,1,2,Node1,picture2.jpg,1,neutral,2,threat,1,neutral,2,threat,212,,neutral,threatthreat,has_threat
sub96,27,10772,1,3,Node6,picture4.jpg,2,neutral,1,neutral,1,threat,2,neutral,112,,neutral,neutralthreat,has_threat
sub96,28,5172,1,2,Node9,picture3.jpg,2,threat,1,neutral,2,threat,1,neutral,121,,threat,neutralneutral,no_threat
sub96,29,4597,1,2,Node3,picture2.jpg,1,threat,2,neutral,1,threat,2,neutral,212,,threat,neutralneutral,no_threat
sub96,30,3329,0,1,Node4,picture4.jpg,1,threat,1,threat,1,neutral,2,threat,112,,threat,threatneutral,has_threat
sub96,31,5241,1,1,Node9,picture3.jpg,2,threat,2,threat,1,neutral,1,neutral,211,,threat,neutralneutral,no_threat
sub96,32,2008,1,1,Node4,picture4.jpg,1,threat,1,threat,2,neutral,2,threat,122,,threat,neutralthreat,has_threat
sub96,33,4171,1,1,Node2,picture6.jpg,1,neutral,1,neutral,2,neutral,2,neutral,122,,neutral,neutralneutral,no_threat
sub96,34,7655,1,3,Node8,picture10.jpg,2,neutral,1,threat,1,neutral,2,neutral,112,,neutral,threatneutral,has_threat
sub96,35,5096,1,2,Node9,picture3.jpg,2,threat,1,neutral,2,threat,1,neutral,121,,threat,neutralneutral,no_threat
sub96,36,4532,1,3,Node3,picture2.jpg,1,threat,2,neutral,2,neutral,1,threat,221,,threat,neutralneutral,no_threat
sub96,37,4432,1,2,Node10,picture1.jpg,2,threat,1,neutral,2,threat,1,threat,121,,threat,neutralthreat,has_threat
sub96,38,4155,1,2,Node8,picture10.jpg,2,neutral,1,neutral,2,neutral,1,threat,121,,neutral,neutralthreat,has_threat
sub96,39,4108,1,3,Node4,picture4.jpg,1,threat,2,threat,2,neutral,1,threat,221,,threat,threatneutral,has_threat
sub96,40,1923,1,3,Node2,picture6.jpg,1,neutral,2,neutral,2,neutral,1,neutral,221,,neutral,neutralneutral,no_threat
sub96,41,5869,1,2,Node1,picture2.jpg,1,neutral,2,threat,1,neutral,2,threat,212,,neutral,threatthreat,has_threat
sub96,42,4254,1,1,Node6,picture4.jpg,2,neutral,2,neutral,1,neutral,1,threat,211,,neutral,neutralthreat,has_threat
sub96,43,3307,1,2,Node10,picture1.jpg,2,threat,1,threat,2,threat,1,neutral,121,,threat,threatneutral,has_threat
sub96,44,6873,1,1,Node3,picture2.jpg,1,threat,1,threat,2,neutral,2,neutral,122,,threat,neutralneutral,no_threat
sub96,45,6577,0,2,Node4,picture4.jpg,1,threat,1,neutral,1,threat,2,threat,112,,threat,neutralthreat,has_threat
sub96,46,4643,1,2,Node6,picture4.jpg,2,neutral,1,threat,2,neutral,1,neutral,121,,neutral,threatneutral,has_threat
sub96,47,5109,1,1,Node8,picture10.jpg,2,neutral,2,neutral,1,neutral,1,threat,211,,neutral,neutralthreat,has_threat
sub96,48,3724,1,1,Node4,picture4.jpg,1,threat,1,threat,2,threat,2,neutral,122,,threat,threatneutral,has_threat
sub97,1,3641,1,3,Node6,picture1.jpg,2,neutral,1,threat,1,threat,2,neutral,112,,neutral,threatthreat,has_threat
sub97,2,1457,0,1,Node8,picture10.jpg,2,neutral,2,neutral,2,neutral,1,threat,221,,threat,neutralneutral,no_threat
sub97,3,1889,1,1,Node1,picture5.jpg,1,neutral,1,neutral,2,neutral,2,neutral,122,,neutral,neutralneutral,no_threat
sub97,4,2781,1,2,Node2,picture2.jpg,1,threat,2,neutral,1,threat,2,neutral,212,,threat,neutralneutral,no_threat
sub97,5,1705,1,3,Node9,picture1.jpg,2,threat,1,neutral,1,threat,2,threat,112,,threat,neutralthreat,has_threat
sub97,6,2705,1,3,Node8,picture10.jpg,2,neutral,1,threat,1,neutral,2,neutral,112,,neutral,threatneutral,has_threat
sub97,7,1837,1,1,Node10,picture2.jpg,2,neutral,2,neutral,1,threat,1,threat,211,,neutral,threatthreat,has_threat
sub97,8,1833,0,3,Node1,picture5.jpg,1,neutral,2,neutral,1,threat,1,neutral,211,,neutral,threatneutral,has_threat
sub97,9,2121,1,2,Node9,picture1.jpg,2,threat,1,neutral,2,threat,1,threat,121,,threat,neutralthreat,has_threat
sub97,10,2055,0,1,Node6,picture1.jpg,2,neutral,2,neutral,1,neutral,2,neutral,212,,neutral,neutralneutral,no_threat
sub97,11,2679,1,1,Node9,picture1.jpg,2,threat,2,threat,1,threat,1,neutral,211,,threat,threatneutral,has_threat
sub97,12,2366,1,1,Node1,picture5.jpg,1,neutral,1,neutral,2,neutral,2,neutral,122,,neutral,neutralneutral,no_threat
sub97,13,2416,1,1,Node6,picture1.jpg,2,neutral,2,neutral,1,threat,1,threat,211,,neutral,threatthreat,has_threat
sub97,14,3208,0,3,Node2,picture2.jpg,1,threat,2,neutral,1,neutral,1,threat,211,,neutral,neutralthreat,has_threat
sub97,15,4374,1,3,Node6,picture1.jpg,2,neutral,1,threat,1,threat,2,neutral,112,,neutral,threatthreat,has_threat
sub97,16,2122,0,2,Node9,picture1.jpg,2,threat,1,threat,2,threat,2,neutral,122,,threat,threatneutral,has_threat
sub97,17,7529,1,1,Node4,picture8.jpg,1,neutral,1,neutral,2,neutral,2,threat,122,,neutral,neutralthreat,has_threat
sub97,18,4928,1,2,Node6,picture1.jpg,2,neutral,1,threat,2,neutral,1,threat,121,,neutral,threatthreat,has_threat
sub97,19,4084,0,1,Node9,picture1.jpg,2,threat,2,threat,1,threat,2,neutral,212,,threat,threatneutral,has_threat
sub97,20,2511,1,2,Node8,picture10.jpg,2,neutral,1,threat,2,neutral,1,neutral,121,,neutral,threatneutral,has_threat
sub97,21,2371,1,1,Node6,picture1.jpg,2,neutral,2,neutral,1,threat,1,threat,211,,neutral,threatthreat,has_threat
sub97,22,4726,1,1,Node9,picture1.jpg,2,threat,2,threat,1,neutral,1,threat,211,,threat,neutralthreat,has_threat
sub97,23,2726,1,3,Node1,picture5.jpg,1,neutral,2,neutral,2,neutral,1,neutral,221,,neutral,neutralneutral,no_threat
sub97,24,2173,1,3,Node2,picture2.jpg,1,threat,2,neutral,2,neutral,1,threat,221,,threat,neutralneutral,no_threat
sub97,25,3535,1,2,Node9,picture1.jpg,2,threat,1,threat,2,threat,1,neutral,121,,threat,threatneutral,has_threat
sub97,26,10061,1,3,Node8,picture10.jpg,2,neutral,1,neutral,1,threat,2,neutral,112,,neutral,neutralthreat,has_threat
sub97,27,5986,1,2,Node6,picture1.jpg,2,neutral,1,threat,2,neutral,1,threat,121,,neutral,threatthreat,has_threat
sub97,28,2371,1,1,Node2,picture2.jpg,1,threat,1,threat,2,neutral,2,neutral,122,,threat,neutralneutral,no_threat
sub97,29,4049,1,3,Node3,picture3.jpg,1,threat,2,neutral,2,threat,1,threat,221,,threat,neutralthreat,has_threat
sub97,30,2347,1,2,Node4,picture8.jpg,1,neutral,2,threat,1,neutral,2,neutral,212,,neutral,threatneutral,has_threat
sub97,31,5880,1,3,Node1,picture5.jpg,1,neutral,2,neutral,2,neutral,1,neutral,221,,neutral,neutralneutral,no_threat
sub97,32,2562,1,1,Node10,picture2.jpg,2,neutral,2,neutral,1,threat,1,threat,211,,neutral,threatthreat,has_threat
sub97,33,1895,1,3,Node4,picture8.jpg,1,neutral,2,threat,2,neutral,1,neutral,221,,neutral,threatneutral,has_threat
sub97,34,2492,1,2,Node1,picture5.jpg,1,neutral,2,neutral,1,neutral,2,neutral,212,,neutral,neutralneutral,no_threat
sub97,35,2581,1,3,Node10,picture2.jpg,2,neutral,1,threat,1,threat,2,neutral,112,,neutral,threatthreat,has_threat
sub97,36,3299,1,2,Node4,picture8.jpg,1,neutral,2,neutral,1,neutral,2,threat,212,,neutral,neutralthreat,has_threat
sub97,37,3365,1,2,Node10,picture2.jpg,2,neutral,1,threat,2,neutral,1,threat,121,,neutral,threatthreat,has_threat
sub97,38,3794,1,1,Node4,picture8.jpg,1,neutral,1,neutral,2,threat,2,neutral,122,,neutral,threatneutral,has_threat
sub97,39,2727,1,2,Node10,picture2.jpg,2,neutral,1,threat,2,neutral,1,threat,121,,neutral,threatthreat,has_threat
sub97,40,6156,1,2,Node3,picture3.jpg,1,threat,2,neutral,1,threat,2,threat,212,,threat,neutralthreat,has_threat
sub97,41,2683,1,1,Node2,picture2.jpg,1,threat,1,threat,2,neutral,2,neutral,122,,threat,neutralneutral,no_threat
sub97,42,3090,1,3,Node9,picture1.jpg,2,threat,1,threat,1,neutral,2,threat,112,,threat,threatneutral,has_threat
sub97,43,3051,1,2,Node2,picture2.jpg,1,threat,2,neutral,1,threat,2,neutral,212,,threat,neutralneutral,no_threat
sub97,44,13882,1,1,Node3,picture3.jpg,1,threat,1,threat,2,neutral,2,threat,122,,threat,neutralthreat,has_threat
sub97,45,36325,1,3,Node4,picture8.jpg,1,neutral,2,neutral,2,threat,1,neutral,221,,neutral,neutralthreat,has_threat
sub97,46,8751,0,1,Node1,picture5.jpg,1,neutral,1,neutral,2,neutral,1,threat,121,,neutral,neutralthreat,has_threat
sub97,47,7373,1,3,Node10,picture2.jpg,2,neutral,1,threat,1,threat,2,neutral,112,,neutral,threatthreat,has_threat
sub97,48,18762,1,3,Node3,picture3.jpg,1,threat,2,threat,2,neutral,1,threat,221,,threat,threatneutral,has_threat
sub98,1,3167,1,3,Node9,picture4.jpg,2,threat,1,neutral,1,threat,2,threat,112,,threat,neutralthreat,has_threat
sub98,2,1970,1,2,Node10,picture4.jpg,2,neutral,1,neutral,2,neutral,1,neutral,121,,neutral,neutralneutral,no_threat
sub98,3,1735,1,3,Node6,picture7.jpg,2,neutral,1,threat,1,neutral,2,neutral,112,,neutral,threatneutral,has_threat
sub98,4,2548,1,1,Node8,picture3.jpg,2,threat,2,threat,1,threat,1,threat,211,,threat,threatthreat,has_threat
sub98,5,3226,1,1,Node9,picture4.jpg,2,threat,2,threat,1,threat,1,neutral,211,,threat,threatneutral,has_threat
sub98,6,1760,1,2,Node3,picture10.jpg,1,neutral,2,neutral,1,neutral,2,neutral,212,,neutral,neutralneutral,no_threat
sub98,7,3213,1,3,Node4,picture2.jpg,1,threat,2,threat,2,neutral,1,threat,221,,threat,threatneutral,has_threat
sub98,8,2803,0,2,Node9,picture4.jpg,2,threat,1,threat,2,threat,2,neutral,122,,threat,threatneutral,has_threat
sub98,9,3934,1,1,Node6,picture7.jpg,2,neutral,2,neutral,1,neutral,1,threat,211,,neutral,neutralthreat,has_threat
sub98,10,2953,1,3,Node8,picture3.jpg,2,threat,1,threat,1,threat,2,threat,112,,threat,threatthreat,has_threat
sub98,11,2282,1,2,Node1,picture1.jpg,1,threat,2,neutral,1,threat,2,threat,212,,threat,neutralthreat,has_threat
sub98,12,3715,1,1,Node3,picture10.jpg,1,neutral,1,neutral,2,neutral,2,neutral,122,,neutral,neutralneutral,no_threat
sub98,13,2543,1,3,Node1,picture1.jpg,1,threat,2,neutral,2,threat,1,threat,221,,threat,neutralthreat,has_threat
