subject,transition_threat,activeNodeThreatStatus,prevTrialThreatStatus,correct_rejections,false_alarms,hits,misses,dprime
sub66,contains_threat,threat,threat,12,3,9,0,2.4212753880993994
sub66,no_threat,neutral,neutral,56,1,18,1,3.3849540623228664
sub67,contains_threat,neutral,threat,41,1,11,0,3.54508196479628
sub67,contains_threat,threat,neutral,41,0,9,3,2.8753300959253485
sub67,contains_threat,threat,threat,12,1,8,0,2.8350856098663706
sub67,no_threat,neutral,neutral,57,6,9,0,2.917552268142007
sub68,contains_threat,neutral,threat,52,0,7,1,3.315551766833225
sub68,contains_threat,threat,neutral,47,1,12,0,3.640695769385951
sub68,contains_threat,threat,threat,19,0,7,0,3.4940845288926
sub68,no_threat,neutral,neutral,39,1,13,0,3.594507378117706
sub69,contains_threat,neutral,threat,39,2,7,0,3.092904093855541
sub69,contains_threat,threat,neutral,36,2,9,1,2.6180216085194474
sub69,contains_threat,threat,threat,16,2,7,1,2.0863799471642612
sub69,no_threat,neutral,neutral,59,3,14,1,2.911229715326587
sub7,contains_threat,neutral,threat,41,8,7,0,2.4882857974987402
sub7,contains_threat,threat,neutral,44,4,7,1,2.296950673280434
sub7,contains_threat,threat,threat,23,0,7,3,2.5096232526936557
sub7,no_threat,neutral,neutral,39,0,14,1,3.5594136249084816
sub70,contains_threat,neutral,threat,44,3,3,7,0.9816184818637732
sub70,contains_threat,threat,neutral,45,4,1,6,0.4536084746713407
sub70,contains_threat,threat,threat,9,0,4,2,2.010959983752042
sub70,no_threat,neutral,neutral,50,4,8,9,1.3232602764115555
sub71,contains_threat,neutral,threat,45,0,10,2,3.164318982531982
sub71,contains_threat,threat,neutral,45,2,10,0,3.315602351198097
sub71,contains_threat,threat,threat,22,2,5,1,2.0731901732879754
sub71,no_threat,neutral,neutral,42,1,12,0,3.5926283162975485
sub72,contains_threat,neutral,threat,46,0,10,0,3.993661574174678
sub72,contains_threat,threat,neutral,47,0,8,1,3.3474247277512075
sub72,contains_threat,threat,threat,13,0,7,0,3.336863635091736
sub72,no_threat,neutral,neutral,50,3,14,0,3.3494786602047872
sub73,contains_threat,neutral,threat,45,1,7,3,2.3261560279999856
sub73,contains_threat,threat,neutral,45,1,9,2,2.665584708507631
sub73,contains_threat,threat,threat,15,0,5,0,3.245725994522289
sub73,no_threat,neutral,neutral,49,3,14,0,3.339882312035197
sub74,contains_threat,neutral,threat,48,4,4,2,1.7389166796835545
